sigma_mhz,adam_fidelity_raw,adam_fidelity_ewma,adam_variance_raw,adam_variance_ewma,nominal_fidelity_raw,nominal_fidelity_ewma,nominal_variance_raw,nominal_variance_ewma,noise_fidelity_raw,noise_fidelity_ewma,noise_variance_raw,noise_variance_ewma
0.145,0.985129902264481,0.985312926720221,2.504179011335378e-06,2.5289864526127134e-06,0.9945103479917888,0.994742024323325,2.1728279519529333e-06,1.636274127353001e-06,0.9984738793549532,0.9985513633337326,3.632990458939096e-07,2.63406098574236e-07
0.146,0.9853347694896883,0.9853139374949769,3.043374313464607e-06,2.5473616497989664e-06,0.9947226208847388,0.9947411264286726,1.4452367301371475e-06,1.6294498025371386e-06,0.9984727712730262,0.998547726483969,2.033636495278443e-07,2.6126123489307176e-07
0.147,0.9854613764173458,0.9853207124087239,3.861079313105837e-06,2.593778837348958e-06,0.9947478148280112,0.9947414337649437,2.2892381883331487e-06,1.6527619053596805e-06,0.9984369073563416,0.9985426342734514,3.420001200813896e-07,2.641139574232155e-07
0.148,0.9850996351569924,0.9853106217265026,3.545737393590548e-06,2.6270599446158897e-06,0.9944773894993766,0.9947293819289663,2.578535192518869e-06,1.6851275581213391e-06,0.9984524783670892,0.9985385192657138,3.057661852689788e-07,2.6557014714256053e-07
0.149,0.9854822083095458,0.9853184034765964,3.163139485671045e-06,2.6456111356673412e-06,0.9946325971852692,0.9947249925724386,1.8426018522944628e-06,1.6905770026406137e-06,0.9983261740975302,0.9985288890428659,4.3559458838710493e-07,2.7145389321265985e-07
0.15,0.9850345126191224,0.9853056070518023,4.174360587261871e-06,2.697994635775677e-06,0.9944910904862048,0.9947144493993252,2.8552513394921187e-06,1.730485254569667e-06,0.998426943869843,0.9985242938482501,4.208199320105412e-07,2.7657200848092013e-07
0.151,0.9851291504390208,0.9852976995760058,4.150376526555432e-06,2.747289397025466e-06,0.9945584619869504,0.9947074592011769,2.172316098475077e-06,1.7454812732486226e-06,0.9983702228847868,0.998517389531119,4.040082182600045e-07,2.808972741534805e-07
0.152,0.9853710172281672,0.9853009668425041,3.074811058062917e-06,2.7583038142616773e-06,0.9943588254760868,0.9946919229795906,2.28397617017471e-06,1.7635906326587052e-06,0.9984207974776708,0.998513085083678,4.0126149194488674e-07,2.849450727353067e-07
0.153,0.9853055130293312,0.9853011683573735,4.440160219557626e-06,2.8143628770699497e-06,0.9946854089671648,0.9946916342386274,2.37227866405064e-06,1.7838792140589941e-06,0.9983232113778852,0.9985046687170668,3.751660495160859e-07,2.8795228749398127e-07
0.154,0.984993958889976,0.9852876201876739,3.252596309781933e-06,2.828844795926185e-06,0.9945597361682044,0.9946858174340337,2.2358193724009107e-06,1.7988140871481575e-06,0.99834136793982,0.9984974670293683,4.81332199341636e-07,2.9434274514225535e-07
0.155,0.9854209246908784,0.9852934704381359,3.847095216458412e-06,2.8622152290407024e-06,0.9947266196707872,0.9946876080960043,2.0554395530559263e-06,1.807224300169313e-06,0.9982157322997744,0.9984851027153927,5.314983970412901e-07,3.0211488710247176e-07
0.156,0.985371633369758,0.9852968847780099,3.558781721729885e-06,2.8848603377514323e-06,0.9945668014797374,0.9946823309801335,2.719438804108353e-06,1.8368800427667702e-06,0.9984662764640744,0.998484280340653,3.618841391222452e-07,3.0405796249262076e-07
0.157,0.9847768703744184,0.9852742703421208,3.115696293368079e-06,2.892306509778129e-06,0.9940956316841936,0.9946568165452975,2.835206843247876e-06,1.869083488176243e-06,0.9984829247475848,0.9984842213884926,5.713561033328357e-07,3.126803104877394e-07
0.158,0.9855888917570697,0.9852878944205319,3.4118215755464007e-06,2.9089388831323437e-06,0.994746817655502,0.9946607138711765,3.0688187472536657e-06,1.9074932400198824e-06,0.998331744527534,0.9984776186697617,4.89816286736845e-07,3.183513523603779e-07
0.159,0.9851218952447288,0.9852807354055896,3.392990410594541e-06,2.9243232123454383e-06,0.9946112716917976,0.9946585815876924,2.0578859789393904e-06,1.9122730852957085e-06,0.9983740956511704,0.9984731540521913,3.0906266352591134e-07,3.180561353454939e-07
0.16,0.985094556657405,0.9852727373912848,3.917188351194564e-06,2.955656682143155e-06,0.9944611596616548,0.9946501005800374,2.36608622442611e-06,1.9265948090952086e-06,0.9983130151967864,0.9984662746802502,3.978502163814893e-07,3.205743277266627e-07
0.161,0.9851716889502478,0.9852684126601534,2.9509618980864552e-06,2.95550953168382e-06,0.9944966968310798,0.9946435351153751,2.287387062865342e-06,1.937903262311708e-06,0.9982206145455108,0.9984557607720533,4.917829397643626e-07,3.259405864510633e-07
0.162,0.9855630845865406,0.9852809791794177,3.683789716062727e-06,2.9781854622721857e-06,0.9946049613915338,0.9946418901081643,2.557563228883614e-06,1.9571971641530122e-06,0.9982523373214192,0.9984470856167967,5.795328006247483e-07,3.3383650284381337e-07
0.163,0.9851881747001572,0.9852770349874165,5.080957638886618e-06,3.0432386881621836e-06,0.9943225546229424,0.9946283183444249,2.7627973995817e-06,1.9821199278623723e-06,0.9984036588217624,0.9984452399772439,4.511824632834328e-07,3.3746682159952756e-07
0.164,0.9847315175394404,0.9852539263825959,4.055886627799489e-06,3.07437241675273e-06,0.994270622538409,0.9946131660315926,3.457523512873328e-06,2.027481018305812e-06,0.9982522570219508,0.9984370650474271,3.934312906430855e-07,3.391874418878977e-07
0.165,0.9850936732244032,0.9852471592002963,2.659833454782769e-06,3.0617041579788626e-06,0.994505850055369,0.9946086342845558,2.135337611669291e-06,2.0307771022944027e-06,0.998287459249612,0.9984307474826546,4.849358704114992e-07,3.4364149561459e-07
0.166,0.9852769735448252,0.9852484144214442,7.368720830570719e-06,3.1925581294910074e-06,0.9942854112792624,0.9945950261922719,4.469706532973662e-06,2.1048756318573686e-06,0.9983360370621196,0.9984267600556406,4.180522673854809e-07,3.459022124284967e-07
0.167,0.9851266546315892,0.9852433029317176,3.924531306700389e-06,3.2146708050852214e-06,0.9944312555810054,0.9945881510835187,3.10160129429257e-06,2.1349863953608693e-06,0.998434876468391,0.9984271007835642,4.434266074855098e-07,3.488483932143001e-07
0.168,0.984930256487864,0.9852301974358387,4.972626767343887e-06,3.2674866377203797e-06,0.9942995338885308,0.9945760683030439,2.352301611018226e-06,2.141515389434467e-06,0.9981634222330924,0.9984160620440276,6.405355812843034e-07,3.576118105226219e-07
0.169,0.985073840450338,0.9852236689392847,3.566070065990013e-06,3.2764094850881915e-06,0.9945459291848392,0.9945748098806669,3.017830455695982e-06,2.1677031307558123e-06,0.9981769773500052,0.998406079352202,7.379470878779376e-07,3.6897772472657874e-07
0.17,0.9853521556564856,0.9852290201645829,3.696650789404779e-06,3.288903074447288e-06,0.994469748830112,0.9945704342894476,2.025899596575792e-06,2.163487373981035e-06,0.9982543564951872,0.998399760386254,4.435004219508459e-07,3.711932517761303e-07
0.171,0.984755109071436,0.9852093305695276,4.240514590689576e-06,3.3170522455394357e-06,0.9940712005384836,0.9945496926133472,3.1868708450264765e-06,2.19375959739116e-06,0.998169336438989,0.9983901869572325,7.528004495289549e-07,3.824813941705782e-07
0.172,0.9849006124400476,0.9851965340832399,3.4185486853865463e-06,3.3200399563930827e-06,0.9940642510521784,0.9945295708722254,2.00224934697556e-06,2.1881221853340158e-06,0.9983627483437648,0.9983890496160548,4.6617179847289866e-07,3.849449557463024e-07
0.173,0.984908606164882,0.9851846259703542,4.714348171939519e-06,3.360889817170649e-06,0.9941840854144968,0.9945152822966177,3.610531048604128e-06,2.229795327172736e-06,0.998278999186132,0.9983844981541815,7.999284646257001e-07,3.971029695725823e-07
0.174,0.9851276122606688,0.9851822730399552,4.058523400300312e-06,3.3812350801684377e-06,0.9942998006011255,0.9945063894630426,2.941548427799537e-06,2.250552361197362e-06,0.9982779337675306,0.9983801002894191,4.79038052369998e-07,3.9949246292349114e-07
0.175,0.9849972208685582,0.9851746516725671,5.653792517962155e-06,3.4472151862389823e-06,0.9942308709529948,0.9944950422425727,3.10603939671034e-06,2.27539007240607e-06,0.9981764675562304,0.9983717136822255,6.22247964526174e-07,4.059598161261504e-07
0.176,0.9847732008987976,0.9851581504316563,5.38922178169128e-06,3.503354511886746e-06,0.994178409459656,0.9944820273621129,2.798219643977062e-06,2.2905039755439057e-06,0.998209617735906,0.9983650508870945,6.639505960299832e-07,4.1341778688745396e-07
0.177,0.9850165383684968,0.9851523405774301,4.121049584799715e-06,3.5211358016258407e-06,0.9941893613229648,0.9944700202845624,3.3510315392899126e-06,2.3210328703241954e-06,0.998248028084796,0.99836024984538,6.853288267994019e-07,4.212451586699937e-07
0.178,0.9851860228298922,0.9851537199461587,3.904117679937499e-06,3.532115552165751e-06,0.9943726362178092,0.9944660321743105,2.8198901936724758e-06,2.33533466702935e-06,0.9982032809726082,0.9983538215949321,4.6153254616752e-07,4.224001623129274e-07
